abstract_id,Session title,abstract Title,Ground Truth,indication
393216,Colorectal Cancer,"Surgical Quality For Patients (Pts) Treated With Neoadjuvant Chemotherapy Vs Chemoradiation For Locally Advanced Rectal Cancer (Larc): Prospect (Ncctg N1048, Alliance)",Locally Advanced;;Rectal Cancer,Locally Advanced Rectal Cancer
393219,Colorectal Cancer,"Effectiveness And Safety Of Rectal Arterial Infusion Chemotherapy Combined With Anti-Pd1 Antibody For Microsatellite Stable Locally Advanced Rectal Cancer: Early Outcome Report Of A Two-Stage, Single Armed, Phase II Study (Raic)",Microsatellite Stable;;Locally Advanced;;Rectal Cancer,Microsatellite Stable Locally Advanced Rectal Cancer
147461,Myeloma And Other Monoclonal Gammopathies - Clinical,Depth Of Response And Mrd Status In Ultra High-Risk Myeloma And Plasma Cell Leukemia Treated With Dara-Cvrd And Augmented Autologous Transplant: Results Of The Risk-Stratified Uk Optimum/Muknine Trial,Ultra High-Risk;;Myeloma;;Plasma Cell Leukemia,Ultra High-Risk Myeloma;;Plasma Cell Leukemia
147482,Myeloproliferative Neoplasms - Clinical,Overall And Progression-Free Survival In Patients Treated With Fedratinib As First-Line Myelofibrosis (Mf) Therapy And After Prior Ruxolitinib (Rux): Results From The Jakarta And Jakarta2 Trials,First-Line;;Myelofibrosis,First-Line Myelofibrosis
180260,"Clonal Hematopoiesis, Aging and Inflammation: Poster I",Genomic Landscape of RUNX1-Familial Platelet Disorder with Myeloid Malignancies Reveals Rising Clonal Hematopoiesis,RUNX1-Familial Platelet Disorder;;Myeloid Malignancies,RUNX1-Familial Platelet Disorder;;Myeloid Malignancy
147495,Sickle Cell Disease,The Burden Of Sickle Cell Disease (Scd) On Patients In Ghana And Nigeria Compared With Other Low-/Middle-Income And High-Income Countries: Results From The Sickle Cell World Assessment Survey (Sway),Sickle Cell Disease,Sickle Cell Disease
262190,Chronic lymphocytic leukemia and related disorders - Clinical,"Nemtabrutinib (Mk-1026), A Non-Covalent Inhibitor Of Wild-Type And C481S Mutated Bruton Tyrosine Kinase For B-Cell Malignancies: Efficacy And Safety Of The Phase 2 Dose-Expansion Bellwave-001 Study",B-Cell Malignancies,B-Cell Malignancy
327727,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",The Expression of mi-RNAs Involved in the Hematopoietic Niche Microenvironment in Newly Diagnosed AML Patients,Newly Diagnosed;;AML,Newly Diagnosed Acute Myeloid Leukemia
327732,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Tandem Duplications of the UBTF gene in Adult AML: A Rare but Recurrent Alteration Associated with Myelodysplasia and Poor Outcome,Adult;;AML,Adult Acute Myeloid Leukemia
147508,Stem Cell Transplantation - Clinical,Belumosudil For Chronic Graft-Versus Host Disease After 2 Or More Prior Lines Of Therapy: The Rockstar Study (Kd025-213),Chronic;;Graft-Versus Host Disease,Chronic Graft-Versus Host Disease
